fullVisitorId,avg_pageviews,subContinent_Northern America,avg_hits,bounces,transactionRevenue,trans_label
6577012298964649552,2.0,0.0,2.0,0.0,0.0,0
1492952808289580535,3.5,2.0,5.5,0.0,0.0,0
3056727511747081031,1.0,0.0,1.0,1.0,0.0,0
540875193565460002,6.0,0.0,8.0,0.0,0.0,0
5904797111043658556,1.0,0.0,1.0,1.0,0.0,0
6933896823600086395,2.0,2.0,2.0,1.0,0.0,0
9373144710695747904,6.0,0.0,6.0,0.0,0.0,0
4514663170118467757,1.0,0.0,1.0,1.0,0.0,0
5446982060166657126,1.0,0.0,1.0,1.0,0.0,0
1725543876220376489,1.0,0.0,1.0,1.0,0.0,0
5243412365514553619,1.0,0.0,1.0,1.0,0.0,0
7784647898627518337,1.0,0.0,1.0,1.0,0.0,0
909583185225607515,1.0,1.0,1.0,1.0,0.0,0
653160092090937466,1.0,1.0,1.0,1.0,0.0,0
4063776404848041335,2.0,1.0,2.0,0.0,0.0,0
855497404310966342,3.0,1.0,4.0,0.0,0.0,0
9757198473809531079,1.0,1.0,1.0,1.0,0.0,0
2226222474077191357,1.0,0.0,1.0,1.0,0.0,0
8587270091659773090,1.0,0.0,1.0,1.0,0.0,0
4747295411509642471,6.0,1.0,6.0,0.0,0.0,0
2842235995907160495,2.0,0.0,2.0,0.0,0.0,0
7799243244555654033,2.0,0.0,2.0,0.0,0.0,0
167728798841171970,3.0,1.0,3.0,0.0,0.0,0
6724865651423852399,1.0,0.0,1.0,1.0,0.0,0
747714979052181658,2.0,0.0,2.0,0.0,0.0,0
6597724299121188997,1.0,0.0,1.0,1.0,0.0,0
3955423198916856178,1.0,0.0,1.0,1.0,0.0,0
534268174741050211,3.0,0.0,5.0,0.0,0.0,0
4431789017231238102,5.0,0.0,5.0,0.0,0.0,0
77657959088930919,2.0,0.0,2.0,0.0,0.0,0
9543200349425588764,2.0,0.0,2.0,0.0,0.0,0
3317082089835476366,3.0,0.0,3.0,0.0,0.0,0
6116950023095124073,1.0,0.0,1.0,1.0,0.0,0
357023552915423846,2.0,3.0,2.0,1.0,0.0,0
3533211459587823500,2.0,0.0,2.0,0.0,0.0,0
607063861476257486,9.0,0.0,9.0,0.0,0.0,0
4897290729276684175,1.0,0.0,1.0,1.0,0.0,0
209219076946789132,1.0,0.0,1.0,1.0,0.0,0
8658886092500499181,6.0,1.0,7.0,0.0,0.0,0
2190645705786841982,1.0,0.0,1.0,1.0,0.0,0
7263822206912874400,6.0,0.0,7.0,0.0,0.0,0
7426299093529842970,1.0,0.0,1.0,1.0,0.0,0
167108322330285998,2.0,0.0,2.0,0.0,0.0,0
8743333071690396539,2.0,0.0,2.0,0.0,0.0,0
99442553572914706,3.0,1.0,3.0,0.0,0.0,0
8150568466401607845,2.0,1.0,2.0,0.0,0.0,0
5981263607867691797,1.0,0.0,1.0,1.0,0.0,0
7264995785317842708,1.0,0.0,1.0,1.0,0.0,0
8405594332660596307,5.0,1.0,5.0,0.0,0.0,0
6749081716416326553,17.0,0.0,18.0,0.0,0.0,0
3523840016478865648,1.0,1.0,1.0,1.0,0.0,0
8966817181649305107,1.0,0.0,1.0,1.0,0.0,0
6373558572017047822,1.0,0.0,2.0,1.0,0.0,0
667296356078076973,2.0,1.0,2.0,0.0,0.0,0
4163972805975911811,1.0,0.0,1.0,1.0,0.0,0
2329331203036260270,1.0,0.0,1.0,1.0,0.0,0
2181729374841968030,1.0,0.0,1.0,1.0,0.0,0
7351673501190104230,1.0,1.0,1.0,1.0,0.0,0
7633562617871459013,5.0,1.0,7.0,0.0,0.0,0
917551604501805376,53.0,0.0,114.0,0.0,0.0,0
4417575624341652212,1.0,0.0,1.0,1.0,0.0,0
1781966341753053420,1.0,0.0,1.0,1.0,0.0,0
1517194948141259702,11.0,0.0,15.0,0.0,0.0,0
9970270126103669954,12.0,0.0,14.0,0.0,0.0,0
2017979491112365123,2.6666666666666665,3.0,2.6666666666666665,1.0,0.0,0
8125101935979742350,4.5,0.0,4.5,0.0,0.0,0
3339399159934505301,1.0,1.0,2.0,1.0,0.0,0
5052303657075956481,1.0,1.0,1.0,1.0,0.0,0
3114175685831923739,1.0,0.0,1.0,1.0,0.0,0
537423732504841896,1.0,0.0,1.0,1.0,0.0,0
1035147150178434580,1.0,0.0,1.0,1.0,0.0,0
9134856277205302312,1.0,0.0,1.0,1.0,0.0,0
187391808281715164,1.0,0.0,1.0,1.0,0.0,0
5634489492659591437,1.0,0.0,1.0,1.0,0.0,0
5678534799679481867,1.0,0.0,1.0,1.0,0.0,0
1696228713496323616,1.0,0.0,1.0,1.0,0.0,0
2847116904363827409,4.0,0.0,5.0,0.0,0.0,0
3248694803996151278,1.0,0.0,1.0,1.0,0.0,0
5949764775301892749,3.0,0.0,3.0,0.0,0.0,0
